
2019-10-23 14:26:44 UTC,1,4095
2019-10-23 14:26:59 UTC	,2,4095
2019-10-23 14:27:14 UTC	,3,4095
2019-10-23 14:27:29 UTC	,4,4095
2019-10-23 14:27:44 UTC	,5,4095
2019-10-23 14:28:00 UTC	,6,4095
2019-10-23 14:28:16 UTC	,7,4095
2019-10-23 14:28:31 UTC	,8,4095
2019-10-23 14:35:58 UTC	,9,4095
2019-10-23 14:36:13 UTC	,10,4095
2019-10-23 14:36:44 UTC	,11,4095
2019-10-23 14:39:58 UTC	,12,4095
2019-10-23 14:41:27 UTC	,13,4095
2019-10-23 14:41:46 UTC	,14,4095
2019-10-23 14:42:05 UTC	,15,4095
2019-10-23 14:42:24 UTC	,16,4095
2019-10-23 14:48:05 UTC	,17,4095
2019-10-23 14:51:37 UTC	,18,4095
2019-10-23 14:52:07 UTC	,19,4095
2019-10-23 14:52:22 UTC	,20,4095
